TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
SOLIHI,2013/01/02,S,1
SOLNNF,2013/01/02,B,1
SOLSBD,2013/01/02,B,1
SOLSBD,2013/01/02,S,2
SOLSBE,2013/01/02,B,4
SOLSBE,2013/01/02,S,4
SOLSTH,2013/01/02,S,1
SPG,2013/01/02,B,48
SPG,2013/01/02,S,29
SPP,2013/01/02,B,378
SPP,2013/01/02,S,414
SPPNII,2013/01/02,S,1
SRH,2013/01/02,B,1
SRH,2013/01/02,S,1
SSK,2013/01/02,B,19
SSK,2013/01/02,S,10
STA,2013/01/02,B,2
STAN40,2013/01/02,B,1
STANSX,2013/01/02,B,2
STANSX,2013/01/02,S,1
STX40,2013/01/02,B,36
STX40,2013/01/02,S,31
STXDIV,2013/01/02,B,23
STXDIV,2013/01/02,S,17
STXFIN,2013/01/02,B,1
STXFIN,2013/01/02,S,7
STXIND,2013/01/02,B,12
STXIND,2013/01/02,S,8
STXRAF,2013/01/02,B,8
STXRAF,2013/01/02,S,9
STXRES,2013/01/02,B,8
STXRES,2013/01/02,S,5
STXSWX,2013/01/02,B,1
STXSWX,2013/01/02,S,2
SUI,2013/01/02,B,100
SUI,2013/01/02,S,45
SUR,2013/01/02,B,18
SUR,2013/01/02,S,9
SYC,2013/01/02,B,51
SYC,2013/01/02,S,45
TAS,2013/01/02,B,8
TAS,2013/01/02,S,6
TAW,2013/01/02,S,2
TBS,2013/01/02,B,558
TBS,2013/01/02,S,582
TBSNII,2013/01/02,B,1
TBSNII,2013/01/02,S,10
TDH,2013/01/02,B,2
TFG,2013/01/02,B,444
TFG,2013/01/02,S,1004
TKG,2013/01/02,B,29
TKG,2013/01/02,S,19
TMG,2013/01/02,B,3
TON,2013/01/02,B,26
TON,2013/01/02,S,41
TOPDWM,2013/01/02,B,8
TOPDWM,2013/01/02,S,6
TOPDWR,2013/01/02,B,42
TOPDWR,2013/01/02,S,39
TOPDWS,2013/01/02,B,34
TOPDWS,2013/01/02,S,29
TOPSBB,2013/01/02,B,2
TOPSBB,2013/01/02,S,1
TOPSBQ,2013/01/02,B,1
TOPSBY,2013/01/02,B,5
TOPSKN,2013/01/02,B,2
TOR,2013/01/02,B,22
TOR,2013/01/02,S,3
TPC,2013/01/02,B,2
TPC,2013/01/02,S,1
TRE,2013/01/02,B,30
TRE,2013/01/02,S,54
TRU,2013/01/02,B,344
TRU,2013/01/02,S,499
TRW,2013/01/02,S,1
TSH,2013/01/02,B,5
TSH,2013/01/02,S,9
TSX,2013/01/02,S,11
UBU,2013/01/02,S,1
UUU,2013/01/02,B,24
UUU,2013/01/02,S,14
VIF,2013/01/02,S,20
VIL,2013/01/02,B,7
VIL,2013/01/02,S,10
VKE,2013/01/02,B,33
VKE,2013/01/02,S,54
VKN,2013/01/02,S,1
VMK,2013/01/02,S,3
VOD,2013/01/02,B,955
VOD,2013/01/02,S,1388
VODNNG,2013/01/02,B,4
WBO,2013/01/02,B,19
WBO,2013/01/02,S,60
WEA,2013/01/02,S,1
WEZ,2013/01/02,B,6
WEZ,2013/01/02,S,3
WGR,2013/01/02,S,4
WHL,2013/01/02,B,767
WHL,2013/01/02,S,1898
WHLNIH,2013/01/02,B,5
WHLNIH,2013/01/02,S,4
WNH,2013/01/02,B,1
WNH,2013/01/02,S,5
WSL,2013/01/02,B,2
XEM,2013/01/02,S,1
YRK,2013/01/02,S,1
ZCI,2013/01/02,S,1
ZED,2013/01/02,B,17
ZED,2013/01/02,S,35
ZGOVI,2013/01/02,B,3
ZGOVI,2013/01/02,S,2
ABL,2013/01/03,B,788
ABL,2013/01/03,S,1273
ABLNIG,2013/01/03,B,1
ABLNIG,2013/01/03,S,5
ABLSTH,2013/01/03,B,2
ABLSTH,2013/01/03,S,2
ABSP,2013/01/03,B,6
ABSP,2013/01/03,S,3
ACE,2013/01/03,B,1
ACE,2013/01/03,S,1
ACL,2013/01/03,B,297
ACL,2013/01/03,S,487
ACLNII,2013/01/03,S,1
ACP,2013/01/03,B,81
ACP,2013/01/03,S,115
ACT,2013/01/03,B,13
ACT,2013/01/03,S,10
ADH,2013/01/03,B,1
ADH,2013/01/03,S,1
ADI,2013/01/03,B,1
ADI,2013/01/03,S,6
ADW,2013/01/03,B,1
ADW,2013/01/03,S,2
AEG,2013/01/03,B,219
AEG,2013/01/03,S,336
AER,2013/01/03,S,2
AET,2013/01/03,B,6
AET,2013/01/03,S,5
AFE,2013/01/03,B,162
AFE,2013/01/03,S,86
AFR,2013/01/03,B,1
AFT,2013/01/03,B,4
AFT,2013/01/03,S,4
AFX,2013/01/03,B,34
AFX,2013/01/03,S,65
AGL,2013/01/03,B,1564
AGL,2013/01/03,S,1404
AGLIBC,2013/01/03,B,5
AGLIBC,2013/01/03,S,1
AGLSBL,2013/01/03,B,4
AGLSBL,2013/01/03,S,1
AGLSBM,2013/01/03,B,4
AGLSBQ,2013/01/03,B,3
